Rk,Team ID,Team,Year,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Restricted Area FGM, Restricted Area FGA,Restricted Area FG%,In the Paint (Non-RA) FGM,In the Paint (Non-RA) FGA,In the Paint (Non-RA) FG%,Mid-Range FGM,Mid-Range FGA,Mid-Range FG%,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG%,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG%,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG%,Backcourt FGA,Backcourt FGA,Backcourt FG%,1-4ft FGM,1-4ft FGA,1-4ft FG%,5-9ft FGM,5-9ft FGA,5-9ft FG%,10-14ft FGM,10-14ft FGA,10-14ft FG%,15-19ft FGM,15-19ft FGA,15-19ft FG%,20-24ft FGM,20-24ft FGA,20-24ft FG%,25-29ft FGM,25-29ft FGA,25-29ft FG%,30-34ft FGM,30-34ft FGA,30-34ft FG%,35-39ft FGM,35-39ft FGA,35-39ft FG%,41ft FGM,41ft FGA,41ft FG%
11,1610612745,Houston Rockets*,17,55,27,55,27,5.77,0.08,5.84,114.7,109,5.7,100,0.304,0.462,0.583,0.545,13.3,24.6,0.233,20.1,31.1,0.646,3.3,8.8,0.373,2.5,7.1,0.361,1.4,3.8,0.376,1.8,4.5,0.395,11.1,31.7,0.351,0,0.2,0,20.7,32.7,0.632,2.2,6.2,0.361,1.1,3.1,0.373,1.5,3.8,0.394,6.3,17.1,0.369,8.3,23.7,0.35,0.2,0.6,0.37,0,0.1,0.25,0,0.3,0
12,1610612754,Indiana Pacers*,17,42,40,40,42,-0.22,-0.42,-0.64,108.6,108.8,-0.2,95.9,0.261,0.272,0.558,0.516,12.8,21.2,0.212,14.7,24.1,0.609,6.2,13.9,0.447,9.7,23.5,0.413,1.4,3.6,0.39,1.1,2.6,0.425,6,16.4,0.366,0,0.2,0,16,26.7,0.598,4,9.4,0.431,2.9,7.1,0.416,5.9,14.3,0.415,5.8,14.4,0.406,4.4,12,0.37,0,0.3,0.133,0,0.5,0.083,0,0.3,0
13,1610612746,Los Angeles Clippers*,17,51,31,52,30,4.29,0.13,4.42,112.7,108.2,4.5,96.1,0.312,0.329,0.574,0.537,12,21.5,0.233,16.5,25.8,0.641,3.4,8.7,0.393,9.3,21.3,0.438,1.3,3,0.435,1.1,2.9,0.391,7.7,20.9,0.368,0,0.2,0.118,17.3,27.6,0.625,2,5,0.39,2.2,4.9,0.438,5.8,13.4,0.431,7,17.1,0.408,5.2,14,0.367,0.1,0.5,0.208,0,0.1,0,0,0.3,0.136
14,1610612747,Los Angeles Lakers,17,26,56,24,58,-6.88,0.58,-6.29,106,113,-7,98.5,0.259,0.295,0.537,0.501,13.5,25,0.195,17.7,29.3,0.605,6.1,15.2,0.404,6.5,17.2,0.382,1.2,3.1,0.375,1.1,2.9,0.373,6.6,19.3,0.34,0,0.2,0.063,18.8,32,0.588,4.2,10.4,0.402,2.6,7,0.372,3.8,9.6,0.397,5.4,14.8,0.366,4.3,12.8,0.336,0,0.2,0.111,0,0.1,0.333,0,0.2,0.053
15,1610612763,Memphis Grizzlies*,17,43,39,42,40,0.49,0.47,0.96,107.7,107.1,0.6,92.3,0.28,0.316,0.535,0.491,12.1,24.8,0.219,15.1,26.7,0.564,5.2,12.9,0.401,6.8,17.5,0.388,1.1,2.7,0.422,1,2.6,0.388,7.2,20.8,0.347,0,0.4,0,16,28.9,0.553,3.5,8.5,0.415,2.4,6.5,0.375,3.5,8.8,0.404,5.8,15.6,0.368,5,14.5,0.348,0.1,0.5,0.286,0,0,0,0,0.5,0.025
16,1610612748,Miami Heat,17,41,41,44,38,1.06,-0.29,0.77,107.8,106.7,1.1,95.2,0.251,0.314,0.541,0.512,12.4,24.2,0.177,16.6,27.2,0.61,6,14.2,0.42,6.6,17.4,0.38,1.7,4.1,0.424,1.6,4.2,0.382,6.5,18.4,0.352,0,0.2,0,17.5,29.3,0.598,4.1,10.1,0.41,2.5,6.5,0.384,3.8,9.7,0.387,7.6,19.5,0.389,3.5,10.2,0.342,0,0.3,0.111,0,0,0,0,0.2,0
17,1610612749,Milwaukee Bucks*,17,42,40,40,42,-0.18,-0.26,-0.45,109.1,109.3,-0.2,94.5,0.274,0.29,0.565,0.527,13.2,21.5,0.21,19.5,31.3,0.624,4.8,12.1,0.394,5.7,14.7,0.388,1.2,3.3,0.362,1.5,3.6,0.411,6,16.5,0.365,0,0.2,0,20.7,33.9,0.612,3.5,9.1,0.383,1.7,4.7,0.368,3.3,8.2,0.397,4.8,12.8,0.376,4.6,12.6,0.367,0.1,0.2,0.5,0,0.2,0.167,0,0.2,0
18,1610612750,Minnesota Timberwolves,17,31,51,38,44,-1.11,0.47,-0.64,110.8,112,-1.2,94.6,0.287,0.249,0.555,0.511,12.9,27.2,0.229,17.5,28,0.625,5.3,12.1,0.437,9.3,23.2,0.4,1.3,3.3,0.385,1,2.4,0.392,5.1,15.1,0.337,0,0.1,0,18.4,30.3,0.609,4.2,9.3,0.45,2.3,6.1,0.378,5.4,13.3,0.407,6.5,16.9,0.386,2.6,8.2,0.316,0,0.2,0.111,0,0.1,0,0,0.2,0.053
19,1610612740,New Orleans Pelicans,17,34,48,35,47,-2.1,0.41,-1.69,105.2,107.4,-2.2,98,0.256,0.308,0.539,0.504,11.7,18.5,0.192,16.4,27.1,0.605,5.6,13.3,0.424,7.7,19.7,0.391,1.3,3.3,0.39,1,2.7,0.362,7.1,20.5,0.344,0,0.2,0,17.5,29.4,0.595,3.9,9.7,0.404,2.7,6.3,0.435,4.3,10.9,0.394,5.5,15.1,0.363,5.2,15.1,0.342,0.1,0.3,0.214,0,0.1,0,0,0.2,0
20,1610612752,New York Knicks,17,31,51,31,51,-3.67,-0.2,-3.87,107.7,111.5,-3.8,96,0.239,0.279,0.534,0.496,12.4,26.6,0.188,15.9,27.8,0.572,4.3,10.6,0.402,10.8,25.3,0.425,1.3,3.1,0.417,1.2,2.7,0.43,6.1,18.5,0.33,0,0.3,0,16.7,29.7,0.561,2.8,7.3,0.385,4.1,9.3,0.436,5.9,13.5,0.436,6.8,17.5,0.389,3.3,10.7,0.307,0,0.2,0.125,0,0.2,0.25,0,0.3,0
21,1610612760,Oklahoma City Thunder*,17,47,35,43,39,0.76,0.39,1.14,108.3,107.5,0.8,97.8,0.295,0.295,0.54,0.5,13.2,27.9,0.22,19.8,32.9,0.601,5.2,11.9,0.432,6.1,16.7,0.365,1.1,3.1,0.364,1.2,3.6,0.332,6.1,18.9,0.322,0,0.2,0.105,20.7,35.1,0.588,3.2,7.9,0.41,2.7,6.9,0.387,3.8,10.1,0.376,6.2,17.8,0.346,2.9,9.2,0.316,0.1,0.3,0.182,0,0.1,0.5,0,0.3,0.1
22,1610612753,Orlando Magic,17,29,53,24,58,-6.57,-0.04,-6.61,103.7,110.5,-6.8,96.8,0.246,0.3,0.524,0.489,12.1,21.6,0.184,15.2,25.2,0.603,5.9,14.2,0.418,8.6,21.5,0.401,0.8,2.7,0.289,0.7,2.3,0.314,7,20.8,0.339,0,0.3,0,16,27,0.593,4.4,10.7,0.416,3,7.3,0.405,4.9,12.4,0.394,5.2,14.7,0.356,4.7,14.4,0.326,0.1,0.3,0.364,0,0,0,0,0.4,0
23,1610612755,Philadelphia 76ers,17,28,54,26,56,-5.7,-0.14,-5.83,103.2,108.9,-5.7,98.5,0.258,0.349,0.539,0.501,14.9,22.4,0.199,17.9,29.3,0.609,4.3,11.2,0.386,5.4,15,0.357,1.2,2.7,0.436,0.9,2.3,0.371,8,24.6,0.328,0,0.1,0,18.7,31.6,0.592,2.8,7.5,0.38,2.4,6.3,0.39,2.9,8,0.359,5.4,14.7,0.365,5.3,16.7,0.318,0,0.3,0.182,0,0.3,0,0,0.1,0
24,1610612756,Phoenix Suns,17,24,58,27,55,-5.63,0.49,-5.14,106.6,112.2,-5.6,100.3,0.297,0.255,0.538,0.493,13.4,26,0.231,18,29.7,0.607,5.7,13.6,0.421,8.6,22.7,0.381,1.1,3.3,0.328,1,3,0.324,5.5,16.1,0.339,0,0.2,0,18.8,32,0.588,3.9,8.7,0.441,3.3,8.3,0.395,5.1,12.8,0.397,5.4,15.6,0.345,3.5,10.6,0.324,0,0.2,0.182,0,0.1,0,0,0.3,0.042
25,1610612757,Portland Trail Blazers*,17,41,41,40,42,-0.52,0.3,-0.23,110.3,110.8,-0.5,96.7,0.275,0.322,0.559,0.52,12.5,23,0.214,16.3,28.2,0.577,4.9,11.5,0.428,8,18.7,0.427,1,2.8,0.345,1.2,2.9,0.406,8.2,21.8,0.378,0,0.2,0,17.2,30.4,0.565,3.2,7.4,0.432,2.7,6,0.446,4.7,10.9,0.432,6.9,18.3,0.376,4.8,12.4,0.384,0.2,0.7,0.29,0,0.1,0,0,0.2,0
26,1610612758,Sacramento Kings,17,32,50,31,51,-3.88,0.58,-3.29,107.3,111.3,-4,94.9,0.284,0.291,0.556,0.516,13.7,21,0.22,15.9,25.9,0.614,5.6,13.9,0.407,7.4,18.5,0.398,1.2,3,0.393,1.3,2.9,0.435,6.5,17.8,0.366,0,0.2,0,17,28.5,0.595,3.4,8.8,0.389,2.5,6.3,0.402,4.6,11.2,0.415,6.4,16.2,0.397,3.8,10.6,0.361,0,0.3,0,0,0.1,0,0,0.3,0.038
27,1610612759,San Antonio Spurs*,17,61,21,60,22,7.2,-0.06,7.13,111.1,103.5,7.6,94.2,0.263,0.281,0.564,0.524,12.6,24,0.21,14.5,23.2,0.625,5.3,12.3,0.43,10.3,24.7,0.418,1.4,3.2,0.448,1.4,3.4,0.413,6.4,16.7,0.379,0,0.2,0,15.3,25,0.612,4.2,9.6,0.432,2.9,7.4,0.384,6.2,14.6,0.426,7.7,17.8,0.431,3.1,9,0.342,0.1,0.1,0.6,0,0.1,0,0,0.2,0
28,1610612761,Toronto Raptors*,17,51,31,52,30,4.21,-0.56,3.65,112.3,107.8,4.5,94.7,0.293,0.289,0.561,0.517,11.8,25,0.233,15.4,25.1,0.614,6.5,14.6,0.444,8.4,20.3,0.415,1.4,3.9,0.361,1.2,3,0.405,6.2,17.3,0.36,0,0.2,0.083,16.7,28,0.596,3.9,9.1,0.425,3.5,7.9,0.439,5,11.8,0.426,5.7,15,0.379,4.3,12.1,0.357,0.1,0.3,0.375,0,0.1,0,0,0.2,0.077
29,1610612762,Utah Jazz*,17,51,31,52,30,3.94,0.06,4,109.6,105.3,4.3,91.6,0.288,0.327,0.563,0.526,13.2,23.2,0.215,16.5,26.3,0.625,4.9,11.6,0.424,6,15.6,0.383,1.5,3.8,0.384,1.4,3.6,0.382,6.8,18.3,0.37,0,0.2,0.071,17,28,0.607,3.3,7.7,0.431,2.9,6.8,0.433,3.2,8.4,0.377,7.5,20,0.375,3,8.1,0.365,0.1,0.3,0.273,0,0.1,0.25,0,0.2,0.063
30,1610612764,Washington Wizards*,17,49,33,46,36,1.8,-0.45,1.36,111.2,109.3,1.9,97.4,0.254,0.284,0.564,0.528,12.8,24.1,0.199,17.4,28.3,0.615,5.1,11.8,0.432,9.6,22.1,0.433,1,3.1,0.337,1.2,3.4,0.359,6.9,18.1,0.383,0,0.1,0,18.1,29.9,0.605,3.5,8.3,0.423,3,7.3,0.416,6,13.6,0.444,5.1,13.5,0.38,5.5,13.9,0.393,0.1,0.4,0.217,0,0.2,0,0,0.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
